AgtId,PPName,Con,Reg,Contp,CowWar,Dat,War Type,War Name,Year From,Year To,War Duration
1739,Afghanistan: 2000s Post-intervention process,Afghanistan,Europe and Eurasia,Government,851,2016-09-22,Intra-State,Second Afghan Mujahideen Uprising,1989,2001,13
553,Afghanistan: 2000s Post-intervention process,Afghanistan,Europe and Eurasia,Government,851,1999-07-19,Intra-State,Second Afghan Mujahideen Uprising,1989,2001,13
409,Afghanistan: 1990s Taliban process,Afghanistan,Europe and Eurasia,Government,851,1993-03-07,Intra-State,Second Afghan Mujahideen Uprising,1989,2001,13
482,Afghanistan: 1990s Taliban process,Afghanistan,Europe and Eurasia,Government,851,1992-04-24,Intra-State,Second Afghan Mujahideen Uprising,1989,2001,13
1923,Afghanistan: 2000s Post-intervention process,Afghanistan,Europe and Eurasia,Government,225,2014-09-21,Inter-State,Invasion of Afghanistan,2001,2001,1
864,Afghanistan: 2000s Post-intervention process,Afghanistan,Europe and Eurasia,Government,225,2012-07-08,Inter-State,Invasion of Afghanistan,2001,2001,1
848,Afghanistan: 2000s Post-intervention process,Afghanistan,Europe and Eurasia,Government,225,2011-12-05,Inter-State,Invasion of Afghanistan,2001,2001,1
849,Afghanistan: 2000s Post-intervention process,Afghanistan,Europe and Eurasia,Government,225,2011-11-02,Inter-State,Invasion of Afghanistan,2001,2001,1
709,Afghanistan: 2000s Post-intervention process,Afghanistan,Europe and Eurasia,Government,225,2010-07-22,Inter-State,Invasion of Afghanistan,2001,2001,1
708,Afghanistan: 2000s Post-intervention process,Afghanistan,Europe and Eurasia,Government,225,2010-06-06,Inter-State,Invasion of Afghanistan,2001,2001,1
707,Afghanistan: 2000s Post-intervention process,Afghanistan,Europe and Eurasia,Government,225,2010-01-28,Inter-State,Invasion of Afghanistan,2001,2001,1
706,Afghanistan: 2000s Post-intervention process,Afghanistan,Europe and Eurasia,Government,225,2009-03-31,Inter-State,Invasion of Afghanistan,2001,2001,1
847,Afghanistan: 2000s Post-intervention process,Afghanistan,Europe and Eurasia,Government,225,2009-03-27,Inter-State,Invasion of Afghanistan,2001,2001,1
705,Afghanistan: 2000s Post-intervention process,Afghanistan,Europe and Eurasia,Government,225,2008-06-12,Inter-State,Invasion of Afghanistan,2001,2001,1
1069,Afghanistan: 2000s Post-intervention process,Afghanistan,Europe and Eurasia,Government,225,2007-07-03,Inter-State,Invasion of Afghanistan,2001,2001,1
1061,Afghanistan: 2000s Post-intervention process,Afghanistan,Europe and Eurasia,Government,225,2006-02-01,Inter-State,Invasion of Afghanistan,2001,2001,1
1054,Afghanistan: 2000s Post-intervention process,Afghanistan,Europe and Eurasia,Government,225,2004-04-01,Inter-State,Invasion of Afghanistan,2001,2001,1
909,Afghanistan: 2000s Post-intervention process,Afghanistan,Europe and Eurasia,Government,225,2002-12-24,Inter-State,Invasion of Afghanistan,2001,2001,1
908,Afghanistan: 2000s Post-intervention process,Afghanistan,Europe and Eurasia,Government,225,2002-01-22,Inter-State,Invasion of Afghanistan,2001,2001,1
272,Afghanistan: 2000s Post-intervention process,Afghanistan,Europe and Eurasia,Government,225,2001-12-05,Inter-State,Invasion of Afghanistan,2001,2001,1
1595,Algeria: Bouteflika Process,Algeria,Middle East and North Africa,Government,875,2005-08-14,Intra-State,Algerian Islamic Front War,1992,1999,8
1738,Algeria: Bouteflika Process,Algeria,Middle East and North Africa,Government,875,1999-07-20,Intra-State,Algerian Islamic Front War,1992,1999,8
1737,Algeria: Bouteflika Process,Algeria,Middle East and North Africa,Government,875,1999-07-13,Intra-State,Algerian Islamic Front War,1992,1999,8
1255,Algeria: Bouteflika Process,Algeria,Middle East and North Africa,Government,875,1996-09-17,Intra-State,Algerian Islamic Front War,1992,1999,8
1044,Algeria: Bouteflika Process,Algeria,Middle East and North Africa,Government,875,1995-01-13,Intra-State,Algerian Islamic Front War,1992,1999,8
484,Algeria: Bouteflika Process,Algeria,Middle East and North Africa,Government,875,1994-01-26,Intra-State,Algerian Islamic Front War,1992,1999,8
978,Angola: UNITA process,Angola,Africa (excl MENA),Government,907,2002-04-04,Intra-State,Third Angolan War,1998,2002,5
305,Angola: UNITA process,Angola,Africa (excl MENA),Government,907,2002-03-13,Intra-State,Third Angolan War,1998,2002,5
299,Angola: UNITA process,Angola,Africa (excl MENA),Government,907,1999-02-18,Intra-State,Third Angolan War,1998,2002,5
300,Angola: UNITA process,Angola,Africa (excl MENA),Government,907,1999-02-18,Intra-State,Third Angolan War,1998,2002,5
301,Angola: UNITA process,Angola,Africa (excl MENA),Government,907,1999-02-18,Intra-State,Third Angolan War,1998,2002,5
1,Angola: UNITA process,Angola,Africa (excl MENA),Government,907,1998-01-09,Intra-State,Third Angolan War,1998,2002,5
439,Angola: UNITA process,Angola,Africa (excl MENA),Government,880,1994-11-15,Intra-State,Angolan War of Cities,1992,1994,3
1318,Angola: UNITA process,Angola,Africa (excl MENA),Government,880,1993-05-31,Intra-State,Angolan War of Cities,1992,1994,3
1316,Angola: UNITA process,Angola,Africa (excl MENA),Government,880,1991-05-31,Intra-State,Angolan War of Cities,1992,1994,3
1319,Angola: UNITA process,Angola,Africa (excl MENA),Government,880,1991-05-31,Intra-State,Angolan War of Cities,1992,1994,3
1317,Angola: UNITA process,Angola,Africa (excl MENA),Government,880,1991-05-31,Intra-State,Angolan War of Cities,1992,1994,3
207,Angola: UNITA process,Angola,Africa (excl MENA),Government,804,1991-05-31,Intra-State,Angolan Control War,1976,1991,16
404,DRC: Second Congo war process,Democratic Republic of Congo,Africa (excl MENA),Government,905,2003-04-02,Intra-State,Africa's World War,1998,2002,5
1303,DRC: Second Congo war process,Democratic Republic of Congo,Africa (excl MENA),Government,905,2003-04-01,Intra-State,Africa's World War,1998,2002,5
